iso3_country,sector,year,co2,ch4,n2o,co2e_100yr,co2e_20yr
all,forest-land-degradation,2022,261019776,0,0,261019776,261019776
all,net-wetland,2022,118364688,0,0,118364688,118364688
all,net-shrubgrass,2022,-558333911,0,0,-558333911,-558333911
all,road-transportation,2022,6150742488,931076,315635,6258908802,6309422367
all,cement,2022,2362653102,,,2362653102,2362653102
all,rice-cultivation,2022,0,29109927,0,791765447,2351629710
all,oil-and-gas-production-and-transport,2022,3793788785,69389029,0,5861581877,9518383755
all,bauxite-mining,2022,8314750,,,8314750,8314750
all,manure-management-other,2022,0,5856106,232421,225562641,553272162
all,wetland-fires,2022,21405994,0,0,21405994,21405994
all,rock-quarrying,2022,1246098,,,1246098,1246098
all,other-manufacturing,2022,3760676346,320801,834940,3990917906,4008047858
all,railways,2022,92966127,5201,35753,102586357,102841905
all,biological-treatment-of-solid-waste-and-biogenic,2022,0,485255,40614,24349954,51483664
all,copper-mining,2022,83548503,,,83548503,83548503
all,solid-waste-disposal,2022,,51623597,,1445460736,4336382209
all,shrubgrass-fires,2022,1204000005,0,0,1204000005,1204000005
all,enteric-fermentation-cattle-feedlot,2022,0,36961349,0,1005348701,2986477023
all,petrochemicals,2022,262929243,723916,,283775885,322403272
all,incineration-and-open-burning-of-waste,2022,17203485,1702306,5832,66413585,161736926
all,oil-and-gas-refining,2022,959954527,71783,9045,970513586,972148816
all,chemicals,2022,574544521,0,0,574544521,574544521
all,pulp-and-paper,2022,83640643,,,83640643,83640643
all,water-reservoirs,2022,2311643,3089489,0,86345750,251942373
all,enteric-fermentation-other,2022,0,28331083,0,793270338,2379811014
all,other-fossil-fuel-operations,2022,126822820,18852286,4564,655896490,1711619984
all,manure-left-on-pasture-cattle,2022,0,925636,1277517,373939687,423553819
all,enteric-fermentation-cattle-pasture,2022,0,40224889,0,1094116986,3250171048
all,domestic-shipping,2022,224964444,,,224964444,224964444
all,sand-quarrying,2022,557221,,,557221,557221
all,removals,2022,-16141707258,0,0,-16141707258,-16141707258
all,residential-and-commercial-onsite-fuel-usage,2022,3252509130,2208879,132206,3349392423,3472957489
all,other-agricultural-soil-emissions,2022,822533592,0,2560251,1501000160,1498439909
all,wastewater-treatment-and-discharge,2022,0,46835315,422184,1423267804,4045623284
all,solid-fuel-transformation,2022,545697661,9898136,0,822845494,1377141160
all,synthetic-fertilizer-application,2022,0,0,1607278,438787144,438787144
all,steel,2022,2266285208,,,2266285208,2266285208
all,net-forest-land,2022,-2035592406,0,0,-2035592406,-2035592406
all,other-transport,2022,162408744,3461,532,162646746,162840076
all,coal-mining,2022,0,51523778,0,1442665798,4327997396
all,international-shipping,2022,599955511,,,599955511,599955511
all,other-onsite-fuel-usage,2022,191399718,299068,10676,202602928,219340102
all,electricity-generation,2022,12874783000,,,12874783000,12874783000
all,forest-land-fires,2022,8779549337,0,0,8779549337,8779549337
all,forest-land-clearing,2022,5065545737,,,5065545737,5065545737
all,iron-mining,2022,73093600,,,73093600,73093600
all,cropland-fires,2022,1112474580,1982627,51401,1180434660,1286703518
all,aluminum,2022,349556024,,,349556024,349556024
all,manure-management-cattle-feedlot,2022,0,3273954,871,89289415,264773385
all,domestic-aviation,2022,322690030,2261,9047,325227422,325346624
all,other-energy-use,2022,2114885086,280081,283947,2197973574,2213374194
all,fluorinated-gases,2022,0,0,0,1332872109,2476906224
all,international-aviation,2022,450807893,3159,12639,454352708,454519237
